SAMPLE_ID,Average initial ?Nd,Group Age (Ma),Latitude GDA 1994,Longitude GDA 1994,Rock Type,References
YQ38,-1.7,2615,-31.3000,119.4400,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
236432,-2.3,2617,-32.7520,116.3749,granodiorite,GSWA
236461,-1.8,2617,-32.7436,116.3743,monzogranite,GSWA
97969125,-2.7,2617,-31.0587,118.6631,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
224371,-2.8,2618,-33.6624,116.0161,metamonzogranite,GSWA
236444,-3.4,2619,-32.7425,116.3245,granodiorite,GSWA
248207,-3.4,2620,-31.5220,116.2103,granodiorite,GSWA
192223,-1.9,2620,-28.7456,123.6709,granitic rock,GSWA
144814,2.5,2620,-25.9587,116.6056,biotite granite,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
97969209,-1.2,2620,-32.3947,121.7648,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
88-195,-3.3,2620,-26.5630,116.8330,granite,"Nutman, AP, Bennett, VC, Kinny, PD and Price, R 1993, Large-scale crustal structure of the northwestern Yilgarn Craton, Western Australia; evidence from Nd isotopic data and zircon geochronology: Tectonics, v. 12, p. 971–981."
ARC69,-3.8,2621,-31.1500,120.9600,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
180981,-3.8,2621,-31.1500,120.9600,granite,GSWA
224451,-2.7,2622,-31.8021,118.4222,granitic gneiss,GSWA
97969201,-3.5,2623,-32.5938,121.7579,biotite monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
118963,-4.7,2624,-25.8929,119.2587,porphyritic syenogranite,GSWA
97969237,-0.6,2625,-32.3417,121.8439,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
207630,-0.9,2626,-29.1457,117.1378,medium- to coarse-grained porphyritic monzogranite,GSWA
ARC20,-2.5,2626,-31.1706,119.6869,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
97969138,-3.3,2627,-30.9514,117.8597,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
205935,-5.0,2628,-32.3844,116.4270,metamonzogranite,GSWA
224307,-0.7,2629,-33.4810,116.1113,biotite leucogranite,GSWA
142906,-7.6,2630,-25.4881,117.0816,coarse porphyritic monzogranite,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
98969042,-2.8,2630,-27.1815,118.8374,quartz monzonite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
99967114,-3.3,2630,-27.1326,117.4501,granodiorite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97967153,0.4,2630,-31.6898,122.2266,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
98967100A,-3.2,2630,-31.2045,120.2906,biotite monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
99969063,-3.5,2630,-30.6420,116.7697,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
2001967009,0.5,2630,-30.4767,120.5594,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
30711,-2.3,2630,-31.5792,116.2750,granodiorite,"Fletcher, IR, Wilde, SA and Rosman, KJR 1985, Sm-Nd model ages across the margins of the Archaean Yilgarn Block, Western Australia III, the western margin: Australian Journal of Earth Sciences, v. 32, p. 73–82."
36937A,-0.7,2630,-31.8847,116.1597,Monzogranite,"Fletcher, IR, Wilde, SA and Rosman, KJR 1985, Sm-Nd model ages across the margins of the Archaean Yilgarn Block, Western Australia III, the western margin: Australian Journal of Earth Sciences, v. 32, p. 73–82."
56477,-2.7,2630,-31.2023,120.2903,biotite monzogranite,"Fletcher, IR, Libby, WG and Rosman, KJR 1994, Sm-Nd model ages of granitoid rocks in the Yilgarn Craton: Geological Survey of Western Australia Report, v. 37, p. 61–74."
YQ13,-3.6,2631,-32.4500,118.8900,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
96969002,-3.3,2631,-29.8445,120.2172,biotite monzogranite,GA unpublished
YQ46,-3.0,2632,-31.4800,119.0500,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
2001969001,0.3,2632,-30.8542,121.9876,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
96969012,-4.2,2633,-29.4586,120.3633,biotite monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
ARC71,-0.9,2635,-31.6400,120.7600,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
180982,-0.9,2635,-31.6400,120.7600,granite,GSWA
YQ10,-3.4,2636,-33.0700,118.3100,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
YQ11,-5.3,2636,-33.0700,118.3100,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
142853,-10.9,2637,-25.3872,117.8629,granite gneiss,GSWA
YQ45,-4.4,2637,-31.3500,119.1600,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
224380,-1.9,2638,-32.9375,116.6856,biotite granite,GSWA
YQ21,-0.8,2638,-32.0700,118.7600,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
115559,0.8,2638,-30.9274,122.5535,biotite granite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
71-742,1.2,2638,-30.9189,122.5500,biotite granite,"McCulloch, MT 1987, Sm–Nd isotopic constraints on the evolution of Precambrian crust in the Australian continent. In Kroner, A. (ed.), Proterozoic lithospheric evolution, American Geophysical Union Geodynamics Series, v. 17, p. 115–130."
84-97,-7.0,2638,-26.5240,116.3710,granite,"Nutman, AP, Bennett, VC, Kinny, PD and Price, R 1993, Large-scale crustal structure of the northwestern Yilgarn Craton, Western Australia; evidence from Nd isotopic data and zircon geochronology: Tectonics, v. 12, p. 971–981."
2001969019B,0.0,2638,-28.9127,122.9297,granite dyke,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
184117,-0.9,2639,-33.9937,116.0750,fine-grained two-mica granite gneiss ,GSWA
ARC101,-2.0,2639,-31.8236,120.2865,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
ARC29,-1.9,2639,-32.7600,121.2859,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
YQ17,-1.8,2639,-32.3400,119.1500,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
180998,-2.0,2639,-31.8236,120.2865,granite,GSWA
99969096,-4.4,2639,-30.0570,116.6770,hornblende biotite granodiorite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
224420,-2.8,2640,-31.7140,116.5397,biotite granite,GSWA
YQ22,-0.1,2640,-32.0800,118.7600,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
98969019,-2.6,2640,-27.1557,119.7234,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97969023,-2.4,2640,-30.4189,120.4761,biotite monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97969044,-1.0,2640,-30.8504,121.2473,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97969245,0.3,2640,-31.9468,122.1718,monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97969034,-0.7,2640,-31.1872,120.6298,biotite monzogranite,"Oliver, B 1999, Granitoids of the Mount Mulgine and Noongal areas. Unpublished B.Sc (honours) thesis, University of Western Australia."
99969049,-4.0,2640,-30.9082,118.1124,hornblende biotite monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97969045,-0.5,2640,-30.3153,120.5598,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
97969049,-2.3,2640,-30.2948,120.5089,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
98969144,-2.8,2640,-31.0103,120.8756,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
99967004,1.2,2640,-29.3889,123.2349,monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
99967018,0.6,2640,-29.5233,122.8214,monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
2001967013,-2.1,2640,-30.2165,120.5987,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
2001969113,1.3,2640,-27.3665,121.7432,sphene-biotite granite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
98967116D,1.6,2640,-31.8145,121.5115,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
92969054,-1.5,2640,-28.8512,120.3441,biotite monzogranite,"Champion, DC and Sheraton, JW 1997, Geochemistry and Nd isotope systematics of Archaean granites of the Eastern Goldfields, Yilgarn Craton, Australia; implications for crustal growth processes: Precambrian Research, v. 83, p. 109–132."
92969068,-4.2,2640,-28.5471,120.2702,biotite monzogranite,"Champion, DC and Sheraton, JW 1997, Geochemistry and Nd isotope systematics of Archaean granites of the Eastern Goldfields, Yilgarn Craton, Australia; implications for crustal growth processes: Precambrian Research, v. 83, p. 109–132."
71187,-6.9,2640,-26.5346,116.3842,granite,"De Laeter, JR, Fletcher, IR, Bickle, MJ, Myers, JS, Libby, WG and Williams, IR 1985, Rb-Sr, Sm-Nd and Pb-Pb geochronology of ancient gneisses from Mt Narryer, Western Australia: Australian Journal of Earth Sciences, v. 32, p. 349–358."
55810C,-0.8,2640,-34.0611,116.3317,quartz monzonite,"Fletcher, IR, Wilde, SA, Libby, WG and Rosman, KJR 1983b, Sm-Nd model ages across the margins of the Archaean Yilgarn Block, Western Australia—II; southwest transect into the Proterozoic Albany-Fraser Province: Australian Journal of Earth Sciences, v. 30"
87975,-1.4,2640,-29.6656,119.5620,granodiorite to granite,"Fletcher, IR, Libby, WG and Rosman, KJR 1994, Sm-Nd model ages of granitoid rocks in the Yilgarn Craton: Geological Survey of Western Australia Report, v. 37, p. 61–74."
224339,-5.1,2641,-33.8807,118.3646,banded biotite gneiss,GSWA
99967055,-3.5,2641,-30.6317,117.4022,biotite monzogranite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
96969025,1.0,2641,-27.3941,121.1219,granite,GA unpublished
83407,-4.1,2641,-29.2144,116.7247,granite,"Watkins, KP and Hickman, AH 1990, Geological evolution and mineralisation of the Murchison Province, Western Australia: Geological Survey of Western Australia Bulletin 137."
92969022,-1.6,2642,-29.4185,121.2947,biotite monzogranite,"Champion, DC and Sheraton, JW 1997, Geochemistry and Nd isotope systematics of Archaean granites of the Eastern Goldfields, Yilgarn Craton, Australia; implications for crustal growth processes: Precambrian Research, v. 83, p. 109–132."
187655,-1.5,2643,-26.2380,118.4616,biotite monzogranite,GSWA
219901,0.9,2643,-33.5748,117.9210,metamonzogranite,GSWA
179449,1.5,2643,-27.9925,123.4250,biotite monzogranite,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
88-179,-4.1,2643,-27.3920,115.5230,granite,"Nutman, AP, Bennett, VC, Kinny, PD and Price, R 1993, Large-scale crustal structure of the northwestern Yilgarn Craton, Western Australia; evidence from Nd isotopic data and zircon geochronology: Tectonics, v. 12, p. 971–981."
59046A,2.2,2644,-27.4695,121.2125,granite,"Fletcher, IR, Libby, WG and Rosman, KJR 1994, Sm-Nd model ages of granitoid rocks in the Yilgarn Craton: Geological Survey of Western Australia Report, v. 37, p. 61–74."
59046C,1.6,2644,-27.4695,121.2125,granite,"Fletcher, IR, Libby, WG and Rosman, KJR 1994, Sm-Nd model ages of granitoid rocks in the Yilgarn Craton: Geological Survey of Western Australia Report, v. 37, p. 61–74."
59047,1.8,2644,-27.4695,121.2125,cpx-amph alkali granite,"Fletcher, IR, Libby, WG and Rosman, KJR 1994, Sm-Nd model ages of granitoid rocks in the Yilgarn Craton: Geological Survey of Western Australia Report, v. 37, p. 61–74."
97967069A,0.9,2644,-27.3099,121.0516,porphryry dyke,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97967150,1.3,2645,-31.8185,122.5497,granodiorite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
97967152,1.4,2645,-31.6502,122.5907,granodiorite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
99967066,-3.9,2645,-30.3261,116.0854,k-feldspar phyric biotite granite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
98967051,0.7,2645,-27.3387,123.8228,monzogranite,J. Dunphy unpublished data
ARC90,3.0,2646,-33.0672,120.2873,granite,"Mole, DR, Fiorentini, ML, Cassidy, KF, Kirkland, CL, Thebaud, N, McCuaig, TC, Doublier, MP, Duuring, P, Romano, SS, Maas, R, Belousova, E, Barnes, SJ, Miller, J 2015, Crustal evolution, intra-cratonic architecture and the metallogeny of an Archaean crato"
180993,3.0,2646,-33.0672,120.2873,granite,GSWA
224316,-3.2,2647,-33.8647,117.0684,biotite leucogranite,GSWA
2001969044,-1.4,2647,-28.8652,120.5220,biotite monzogranite,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
96969046,1.5,2647,-27.4455,121.9297,foliated granite,"Fletcher, IR and McNaughton, NJ, 2002b, Sm-Nd and Pb/Pb isotope geochemistry of Yilgarn granitoids. In Cassidy et al. 2002. Characterisation and metallogenic significance of Archean granitoids of the Yilgarn Craton, Western Australia. Project No. M281. M"
142816,0.2,2648,-26.0218,120.3175,biotite monzogranite,GSWA
118996,5.7,2648,-25.8301,120.9281,"medium-grained, anhedral-granular hornblende syenite",GSWA
224345,-2.6,2648,-34.1201,119.0081,biotite granite,GSWA
212092,-1.8,2648,-27.8989,119.5496,biotite monzogranite,GSWA
92969080A,0.6,2648,-28.3183,120.7598,banded gneiss,"Champion, DC and Sheraton, JW 1997, Geochemistry and Nd isotope systematics of Archaean granites of the Eastern Goldfields, Yilgarn Craton, Australia; implications for crustal growth processes: Precambrian Research, v. 83, p. 109–132."
2001967045,0.6,2649,-29.5870,121.2804,biotite monzogranite dyke,"Barley, ME, Brown, SJA, Cas, RAF, Cassidy, KF, Champion, DC, Gardoll, SJ and Krapež, B 2003, AMIRA Project P624. An integrated geological and metallogenic framework for the eastern Yilgarn Craton: Developing geodynamic models of highly mineralised Archea"
187651,-2.2,2650,-26.2281,118.2427,biotite monzogranite,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
224324,0.3,2650,-34.1216,117.5063,biotite leucogranite,GSWA
224340,1.4,2650,-34.0955,118.5408,biotite leucogranite,GSWA
224315,1.2,2650,-34.0339,117.0139,biotite leucogranite,GSWA
205944,1.3,2650,-33.9227,117.2910,leucogranite,GSWA
224353,-2.0,2650,-33.8079,119.4368,biotite granite,GSWA
205947,0.3,2650,-33.5306,118.0874,leucogranite,GSWA
224337,-1.1,2650,-33.4206,117.0571,biotite leucogranite,GSWA
224374,0.1,2650,-33.3856,116.5452,equigranular biotite granite,GSWA
205948,1.3,2650,-33.3602,118.7445,leucogranite,GSWA
224330,-0.4,2650,-33.3089,117.2903,biotite leucogranite,GSWA
224375,-1.1,2650,-33.1393,116.8414,biotite granite,GSWA
205938,-2.0,2650,-33.0953,116.5303,leucogranite,GSWA
224336,-1.0,2650,-33.0620,117.6212,biotite leucogranite,GSWA
224382,-0.1,2650,-32.5554,117.0357,biotite tonalite,GSWA
224361,-0.7,2650,-32.4957,118.5444,biotite leucogranite,GSWA
224362,-3.3,2650,-32.3035,117.1755,biotite leucogranite,GSWA
224390,-1.0,2650,-32.2876,117.9483,monzogranite,GSWA
224392,-5.4,2650,-32.0454,118.2048,leucogranite,GSWA
224400,0.4,2650,-32.0126,116.8602,biotite-hbl granite,GSWA
224454,-1.3,2650,-31.7614,118.5852,biotite granite,GSWA
